title, binary
18 Presents, PASS
A Quiet Place Part II, PASS
All the Bright Places, PASS
Ammonite, PASS
Artemis Fowl, PASS
Bad Boys For Life, FAIL
Bad Hair,PASS
Bill & Ted Face the Music,PASS
Birds of Prey,PASS
Blow the Man Down,PASS
Borat Subsequent Moviefilm,PASS
Breach,FAIL
Breath,FAIL
Cadaver,PASS
The Call,PASS
The Courier,PASS
The Croods: A New Age,PASS
Deep Blue Sea 3,FAIL
Druk,FAIL
Emma.,PASS
Enola Holmes,PASS
Eurovision Song Content: The Story of Fire Saga,PASS
Extraction,PASS
Fantasy Island,PASS
Freaky,PASS
From Stress to Happiness,FAIL
Godmothered,PASS
Gretel & Handel,PASS
Greyhound,FAIL
The Half of It,PASS
Hamilton,PASS
Happiest Season,PASS 
Herself,PASS
The High Note,PASS 
Holidate,PASS
Honey Boy,FAIL
Horse Girl,PASS
Host,PASS
How to Be a Good Wife,PASS
The Hunt,PASS
I Care a Lot,PASS
I'm Your Woman,PASS
Infamous,PASS
The Invisible Man,PASS
Jiu Jitsu,FAIL
The King of Staten Island,PASS
The Last Days of American Crime,FAIL
Legacy of Lies,PASS
Like a Boss,PASS
Living Aims,FAIL
Lost Girls,PASS
The Lost Husband,PASS
Love and Mosters,FAIL
Ludo,PASS
Ma Rainey's Black Bottom,PASS
Malmkrog,PASS
Mank,FAIL
Mariah Carey's Magical Christmas Special,PASS
The Marijuana Conspiracy,PASS
The Methodists,PASS
The Midnight Sky,PASS
Minari,PASS
Misbehavior,PASS
Monster Hunter,PASS
Mulan,PASS
My Salinger Year,PASS
My Spy,PASS
Never Rarely Sometimes Always,PASS
The New Mutants,PASS
News of the World,PASS
Nomadland,PASS
Normal People,PASS
The Old Guard,PASS
Onward,PASS
Over the Moon,PASS
Palm Springs,PASS
Penguin Bloom,PASS
Phineas and Ferb the Movie: Candace Against the Universe,PASS
Pieces of a Woman,PASS
Platzspitzbaby,PASS
The Prom,PASS
Promising Young Woman,PASS
Relic,PASS
The Retreat,FAIL
The Rhythm Section,FAIL
Run,PASS
Run Hide Fight,PASS
Santana,FAIL
Scare Me,FAIL
Scoob,PASS
Shadow in the Cloud,FAIL
Shirley,PASS
Slaxx,PASS
Sonic the Hedgehog,PASS
Soul,PASS
Sputnik,FAIL
Stargirl,PASS
The Stunt Double,FAIL
Summer of 85,FAIL 
Summerland,FAIL
Superintelligence,PASS
Tenet,FAIL
Tout simplement noir,FAIL
Train to Busan Presents: Peninsula,PASS
The Trial of the Chicago 7, FAIL
Trolls World Tour,PASS
The Turning,PASS
Underwater,PASS
Unhinged,PASS
Unpregnant,PASS
The Veil,PASS
The Witches,FAIL
Wolfwalkers,PASS
Wonder Woman 1984,PASS
Work It,PASS
Zombies 2,PASS 
