year,title,binary,budget,domgross,intgross,totalgross
2013,21 &amp; Over,FAIL,13000000,25682380,42195766,67878146
2012,Dredd 3D,PASS,45000000,13414714,40868994,54283708
2013,12 Years a Slave,FAIL,20000000,53107035,158607035,211714070
2013,2 Guns,FAIL,61000000,75612460,132493015,208105475
2013,42,FAIL,40000000,95020213,95020213,190040426
2013,47 Ronin,FAIL,225000000,38362475,145803842,184166317
2013,A Good Day to Die Hard,FAIL,92000000,67349198,304249198,371598396
2013,About Time,PASS,12000000,15323921,87324746,102648667
2013,Admission,PASS,13000000,18007317,18007317,36014634
2013,After Earth,FAIL,130000000,60522097,244373198,304895295
2013,American Hustle,PASS,40000000,148430908,249484909,397915817
2013,August: Osage County,PASS,25000000,37304874,50304874,87609748
2013,Beautiful Creatures,PASS,50000000,19452138,55940671,75392809
2013,Blue Jasmine,PASS,18000000,33345833,68447831,101793664
2013,Captain Phillips,FAIL,55000000,107136417,218743570,325879987
2013,Carrie,PASS,30000000,35266619,85001659,120268278
2013,Cloudy with a Chance of Meatballs 2,FAIL,78000000,119640264,271725448,391365712
2013,Despicable Me 2,PASS,76000000,368065385,970766005,1338831390
2013,Don Jon,FAIL,5500000,24477704,26377704,50855408
2013,Elysium,PASS,120000000,93050117,286192091,379242208
2013,Ender&#39;s Game,FAIL,110000000,61737191,89737191,151474382
2013,Epic,PASS,100000000,107518682,268418682,375937364
2013,Escape from Planet Earth,PASS,40000000,57012977,66454811,123467788
2013,Escape Plan,FAIL,70000000,25213103,103813103,129026206
2013,Evil Dead,PASS,17000000,54239856,97402049,151641905
2013,Fast and Furious 6,PASS,160000000,238679850,788128122,1026807972
2013,Frozen,PASS,150000000,393050114,1004550114,1397600228
2013,G.I. Joe: Retaliation,PASS,140000000,122523060,371923060,494446120
2013,Gangster Squad,FAIL,60000000,46000903,104100903,150101806
2013,Gloria,PASS,30000000,4167493,4967493,9134986
2013,Gravity,FAIL,110000000,271814796,708714796,980529592
2013,Grown Ups 2,FAIL,80000000,133668525,247023808,380692333
2013,Hansel &amp; Gretel: Witch Hunters,PASS,50000000,55703475,225703475,281406950
2013,Her,FAIL,23000000,25000178,33029713,58029891
2013,Identity Thief,FAIL,35000000,134506920,176269721,310776641
2013,Insidious: Chapter 2,FAIL,5000000,83586447,161911222,245497669
2013,Iron Man 3,FAIL,200000000,408992272,1212692272,1621684544
2013,Jack the Giant Slayer,FAIL,195000000,65187603,197387603,262575206
2013,Kick-Ass 2,PASS,28000000,28795985,60839197,89635182
2013,Last Vegas,FAIL,28000000,63914167,112914167,176828334
2013,Lee Daniels&#39; The Butler,PASS,30000000,116632095,151513429,268145524
2013,Machete Kills,PASS,2000000,8008161,9408161,17416322
2013,Mama,PASS,15000000,71628180,148041253,219669433
2013,Man of Steel,PASS,225000000,291045518,687999518,979045036
2013,Nebraska,PASS,12000000,17482517,17482517,34965034
2013,Now You See Me,FAIL,75000000,117723989,351723989,469447978
2013,Oblivion,FAIL,120000000,89107235,287537983,376645218
2013,Olympus Has Fallen,FAIL,70000000,98927592,150562164,249489756
